level,pcode,name,center_lat,center_lon
adm4,MMR001010001,Kywe Gyo Kan Ba Ni,24.35981154,97.30652041
adm4,MMR001010002,Chaung Wa,24.38058076,97.30609032
adm4,MMR001010003,Nawng Laik,24.37362126,97.3727911
adm4,MMR001010004,Man Hkun,24.23072352,97.29433287
adm4,MMR001010006,Kho Kyin,24.22973673,97.27346992
adm4,MMR001010007,Man Hpar,24.21327503,97.28563229
adm4,MMR001010008,Si In,24.25507376,97.29239963
adm4,MMR001010009,Moe Hping,24.31246235,97.29658911
adm4,MMR001010010,Tar Mong Long,24.29979529,97.27339795
adm4,MMR001010011,He Long Thit,24.35078781,97.25970711
adm4,MMR001010012,He Long Haung,24.3206039,97.25292542
adm4,MMR001010013,Hseng Kin,24.33379783,97.29605605
adm4,MMR001010014,Ma Lu Lar,24.33179373,97.33036224
adm4,MMR001010015,Nam Hlaing,24.31883875,97.32344061
adm4,MMR001010016,Hku Li,24.28482551,97.30118903
adm4,MMR001010017,Ma Au Pin,24.33936483,97.34977627
adm4,MMR001010018,Man Yay,24.35203766,97.36632901
adm4,MMR001010022,Hsint Kin,24.32921057,97.210505
adm4,MMR001010023,Thing Len,24.17852959,97.25365984
adm4,MMR001010025,Kone Ma Hat,24.22580362,97.22713801
adm4,MMR001010026,Si He,24.22135124,97.25855938
adm4,MMR001010027,Kan Ba Ni,24.20067324,97.26138151
adm4,MMR001010028,Nyaung Pin Thar,24.20779085,97.22593315
adm4,MMR001010029,Sar Wa Tee,24.16376715,97.19863464
adm4,MMR001010030,Man Yut,24.18209856,97.2814598
adm4,MMR001010031,Man Ma Lin,24.26121235,97.11291498
adm4,MMR001010032,Kone Hkar,24.29597004,97.19932693
adm4,MMR001010033,Man Pin,24.31067252,97.19892621
adm4,MMR001010034,Kyun Gyi,24.31732285,97.18440681
adm4,MMR001010035,Mong Kar,24.30398676,97.18687875
adm4,MMR001010036,Tha Hpan Pin,24.36332763,97.14757143
adm4,MMR001010037,Hnget Pyaw Taw,24.34654679,97.17175619
adm4,MMR001010038,Mya Zay Di,24.33595763,97.10949282
adm4,MMR001010039,Par Pawng,24.31306746,97.15925152
adm4,MMR001010040,Kawng Hsint,24.23910116,97.15151889
adm4,MMR001010041,Yae Ni,24.22549886,97.18965366
adm4,MMR001010042,Kan Thar,24.2133516,97.17250913
adm4,MMR001010043,Let Pan Tan,24.19474191,97.15580544
adm4,MMR001010044,Tein Thaw,24.40454491,97.25549638
adm4,MMR001010045,Hsin Hkan,24.08618962,97.0748799
adm4,MMR001010046,Kawng Ton,24.11048656,97.14259906
adm4,MMR001010047,Nawng Mo,24.18147288,97.0823796
adm4,MMR001010701,Urban,24.25667405,97.24841563
adm4,MMR001010901,,24.53333661,97.13986671
adm4,MMR001010902,,23.92895206,96.93829972
adm4,MMR001011001,Nawng Mo,24.13546586,96.93882161
adm4,MMR001011002,Thin Baw Inn,24.1870685,96.87553327
adm4,MMR001011003,Moe Sit,24.22149976,96.86233229
adm4,MMR001011004,Yae Le,24.23361923,96.84240992
adm4,MMR001011005,Sin Tat,24.24853551,96.8229124
adm4,MMR001011006,Hsin Hpoke,24.11737595,96.79120117
adm4,MMR001011007,Nga Bat Gyi,24.12051991,96.87235224
adm4,MMR001011008,Pan Tin,24.16152675,96.79848053
adm4,MMR001011009,Si Thaung,24.05796955,96.78889855
adm4,MMR001011010,Man Wein,24.13930669,96.74737696
adm4,MMR001011011,Si Thar,24.12494178,96.74565719
adm4,MMR001011012,Si Maw,24.12531661,96.70754034
adm4,MMR001011013,Si Mu Gyi,24.15665847,96.73159883
adm4,MMR001011014,Nawng Let Gyi,24.18403645,96.74038106
adm4,MMR001011015,Taw Pone,24.23336812,96.73822041
adm4,MMR001011016,Bo Kone,24.34131553,96.60045676
adm4,MMR001011017,Shwe Bon Thar,24.28552209,96.7305788
adm4,MMR001011018,Ting Hun,24.27126735,96.70684246
adm4,MMR001011019,Tha Yet Kone,24.25097185,96.65571468
adm4,MMR001011020,Seik Thar,24.21640513,96.62973816
adm4,MMR001011021,Tha Pyay Hla,24.29821207,96.62505193
adm4,MMR001011022,Ma Ni Aw Ga,24.32568932,96.65620398
adm4,MMR001011023,Kyauk Gyi,24.32568932,96.74977311
adm4,MMR001011024,Myo Kone,24.25136973,96.90736402
adm4,MMR001011025,Si Thaw,24.26017002,97.00285903
adm4,MMR001011032,Ah Mat Gyi Kone,24.42028649,96.73573929
adm4,MMR001011033,Min Kyaung Kone,24.39923464,96.63754957
adm4,MMR001011034,Pang Hkun Yang,24.5399621,96.85920057
adm4,MMR001011036,Hka Ba Yawng,24.4706308,96.9923137
adm4,MMR001011701,Urban,24.21239621,96.79178433
adm4,MMR001011702,Urban,24.47528635,96.65395957
adm4,MMR001011901,,24.52230264,96.68145112
adm4,MMR001011902,,24.43321684,97.04515201
adm4,MMR001012001,Man Pong,24.24474169,97.31861573
adm4,MMR001012002,Kyauk Sa Khan,24.26685538,97.42039327
adm4,MMR001012003,Ja Ri Da Gaw,24.21216907,97.37364205
adm4,MMR001012004,Kun Bang,24.29645268,97.37420856
adm4,MMR001012005,Ja Hkan Dat,24.33795001,97.39390893
adm4,MMR001012006,Gwei Ka Htaung,24.3479754,97.42479264
adm4,MMR001012007,Hpa Kawm,24.3377702,97.4889847
adm4,MMR001012008,Prang Hu Dong,24.37859906,97.51933369
adm4,MMR001012009,Ma Ru War Htang,24.19272046,97.48192969
adm4,MMR001012010,Myo Thit,24.41187199,97.44730971
adm4,MMR001012011,Min Jang,24.41149584,97.39736914
adm4,MMR001012012,Si Kaw,24.39514815,97.37214805
